,Lyrics
"""Baby""",woah woah woah know love know care huh shout whenever huh love heart huh never ever ever apart huh item girl quit playin huh friend sayin huh said another looked right eye huh first love broke heart first time like huh baby baby baby like baby baby baby like baby baby baby thought always mine mine baby baby baby like baby baby baby like baby baby baby thought always mine mine might also like would done whatever huh believe together huh wan play cool losin huh buy anything buy ring huh piece baby fix huh shake till wake bad dream huh goin huh believe first love around like baby baby baby like baby baby baby like baby baby baby thought always mine mine baby baby baby like baby baby baby like baby baby baby thought always mine mine luda thirteen first love nobody compared baby nobody came could ever come goin crazy starstruck woke daily need starbucks woo made heart pound skip beat see street school playground really wan see weekend know got dazing cause amazin heart breakin keep sayin baby baby baby like baby baby baby like baby baby baby thought always mine mine baby baby baby like baby baby baby like baby baby baby thought always mine mine gone yeah yeah yeah yeah yeah yeah gone yeah yeah yeah yeah yeah yeah gone yeah yeah yeah yeah yeah yeah gone gone gone gone gone gone 
"""Whataya Want from Me""",hey slow whataya want whataya want yeah afraid whataya want whataya want might time would give away upon time give damn whataya want whataya want give workin please give let messed need second breathe keep coming around hey whataya want whataya want whataya want might also like yeah yeah plain see plain see baby beautiful nothing wrong nothing wrong freak yeah thanks loving cause perfectly perfectly yeah might time would let slip away even try think could save life give workin please give let messed need second breathe keep coming around hey whataya want whataya want whataya want whataya want whataya want give let let give workin please give let messed messed need second breathe keep coming around hey whataya want give workin please give let messed need second breathe keep coming around hey whataya want whataya want whataya want whataya want whataya want whataya want 
"""Mine""",huh yeah naw lil bit much hennessy got tell feel look fuckin precious smile haha yeah hit back drive wild yeah yeah girl lose eye eye eye eye eye haha let know mine mine mine mine hand body wan waste time time time time feel like forever even forever tonight lay waste night away mine look away got say fucking happy alive haha yeah swear god got say right yeah yeah girl anything make feel alright let know fine running circle round mind even rainy ever shine fire star like mariah man feel incredible turn bride mine mine mine mine might also like hand body wan waste time time time time feel like forever even forever tonight lay waste night away mine look away got say 
"""Only Girl (In the World)""",yeah want love like hot ride yeah thinking like haha boy forget world cause gon tonight yeah wan make beg make swallow pride want make feel like girl world like one ever love like one know heart girl world like one command cause one understands make feel like man yeah want make feel like girl world like one ever love like one know heart one might also like want take like thief night hold like pillow make feel right baby tell secret keeping come inside yeah enter leaving prisoner night want make feel like girl world like one ever love like one know heart girl world like one command cause one understands like one know heart one take ride ride baby take high high let make rise rise make last night night take ride ride baby take high high let make rise rise make last night want make feel like girl world like one ever love like one know heart girl world like one command cause one understands make feel like man girl world girl world girl world girl world 
"""Live Like We're Dying""",yeah yeah sometimes fall get back hiding behind skin tough come say love enough til late late heart hungry food come could make feast crumb yeah staring barrel gun life flashed would wish would done yeah got start looking hand time given got got start thinking every second count clock ticking got live like dying got eighty six four hundred second day turn around throw away got tell love got chance say got live like dying might also like plane fell sky would call last goodbye careful let fall life cause long absolution one line yeah yeah got start looking hand time given got got start thinking every second count clock ticking got live like dying got second day turn around throw away got tell love got chance say got live like dying like dying like dying like dying like dying got eighty six four hundred second day turn around throw away got tell love got chance say got live like dying yeah never know good thing til gone never see crash til head think right dead wrong never know good thing til gone yeah got start looking hand time given got got start thinking every second count clock ticking got live like dying got second day turn around throw away got tell love got chance say got live like dying like dying like dying like dying like dying got eighty six four hundred second day turn around throw away got tell love got chance say got live like dying 
"""Hard""",yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah haha yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah say whatever whatever pain forever yup know young tougher lion gon needa try live sky end yup know young never lying truth teller rihanna reign let black blacked shade shade blacked maybach rock shit like fashion going til say stop hold runway never looked clear hottest bitch heel right fear getting cry getting fly sincere see aiming pedestal better let know might also like hard hard yeah yeah yeah hard hard hard hard yeah yeah yeah hard hard hard hard yeah yeah yeah hard hard hard yeah hard yeah hard yeah hard yeah brrah yeah yeah yeah rihanna reign let brrah yeah yeah yeah rihanna reign let brrah yeah yeah yeah rihanna reign let hard yeah hard yeah hard yeah hard yeah know wan clone like chick phony young ride beat beat beat like pony meet top top top getting lonely young think test run town shut brilliant resilient fan mail twenty seven million young want gon take hope got need hold money fame car clothes let run like like yeah see aiming pedestal think got let know hard hard yeah yeah yeah hard hard hard hard yeah yeah yeah hard hard hard hard yeah yeah yeah hard hard hard yeah hard yeah hard yeah hard yeah hard home back residence soon red dog give block back president used run whole block like obama got believe ask momma even come room smelled like kilo look like two boy playing casino count style keep bag afford tell give back swag tryna clone see louis chuck louis flag louis frame louis belt make louis mane white party wearing black new black watch call heart attack cardiac arrest carti wrist yeah say hard hard hard one word describes know girl talking trash girl talking trash blogger blogger lighter lighter hard yeah hard yeah hard yeah hard yeah hard yeah yeah yeah yeah hard yeah hard hard yeah yeah yeah hard hard hard hard hard hard hard hard 
"""Young Forever""",let dance style let dance heaven wait watching sky hoping best expecting worst gon drop bomb let die young let live forever power never say never sitting sandpit life short trip music sad men forever young wan forever young really want live forever forever ever forever young young wan forever young forever young ayy may best today worst tomorrow really want live forever forever forever young even thinkin far know mean living life like video video sun always never get old champagne always cold music always good pretty girl happen stop hood hop pretty as hood pretty as car without wrinkle today cause tomorrow picture perfect day last whole lifetime never end cause hit rewind let stay moment smoke weed drink wine reminisce talk shit forever young mind leave mark erase neither space time director yell cut fine forever young might also like forever young wan forever young really want live forever forever ever forever young wan forever young forever young really want live forever forever forever young fear fear fear much alive life living living uptight til somewhere sky fear die alive million year bye bye legend forever young name shall survive darkest block kitchen stove pyrex pot name shall passed generation debating barbershop young slung hung showed nigga little ambition become yeah father pas story son ear young get younger every year yeah love baby let know ever let let know baby forever young wan forever young really want live forever forever ever forever young wan forever young forever young really want live forever forever forever young let run slamming bentley door hopping outta porsches popping forbes list gorgeous hold nigga thought lost talking bullshit talking shit nauseous hold forever know fall shit foreclosure never forfeit le four bar guru bring chorus get picture yet painting portrait young forever young wan forever young forever young really want live forever forever forever young 
"""Rolling in the Deep""",fire starting heart reaching fever pitch bringing dark finally see crystal clear ahead sell lay shit bare see leave every piece underestimate thing fire starting heart reaching fever pitch bringing dark scar love remind keep thinkin almost scar love leave breathless help feeling could gon wish never met rolling deep tear gon fall rolling deep heart inside hand gon wish never met played beat tear gon fall rolling deep baby story told heard one gon make head burn think depth despair make home mine sure shared might also like gon wish never met scar love remind tear gon fall rolling deep keep thinkin almost gon wish never met scar love leave breathless tear gon fall rolling deep help feeling could gon wish never met rolling deep tear gon fall rolling deep heart inside hand gon wish never met played beat tear gon fall rolling deep could rolling deep heart inside hand played beating throw soul every open door ooh woah count blessing find look woah turn sorrow treasured gold ooh woah pay back kind reap sow gon wish never met could tear gon fall rolling deep could yeah gon wish never met tear gon fall rolling deep could gon wish never met rolling deep tear gon fall rolling deep heart inside hand gon wish never met played beat tear gon fall rolling deep could gon wish never met rolling deep tear gon fall rolling deep heart inside hand gon wish never met played played played played beat 
"""Party Rock Anthem""",party rock yeah woo let party rock house tonight everybody good time yeah gon make lose mind woo everybody good time clap party rock house tonight everybody good time feel baby gon make lose mind yeah wan see shake club party rock looking girl jock huh non stop spot booty moving weight like block woo drank gots know tight jean tattoo cause rock roll half black half white domino gainin money oprah dough might also like runnin hoe like drano got devilish flow rock roll halo party rock yeah crew reppin rise top led zeppelin hey party rock house tonight woo everybody good time yeah gon make lose mind everybody good time let party rock house tonight everybody good time feel baby gon make lose mind wan see shake every day shufflin shake shufflin shufflin shake step fast first girl make throw cash get money mad stop hatin bad one shot another round please fill cup mess around wan see shake wan naked get get put hand sound get get put hand sound get get put hand sound woo put hand sound put hand sound let get get get get get get get get get put hand sound sound put hand woo put hand put hand put hand party rock house tonight put hand woo everybody good time put hand gon make lose mind put hand everybody good good good time put hand feel baby put hand put hand shake every day shu shufflin put put hand put put yeah put put woo hand put put hand put hand put hand put hand 
"""Firework""",ever feel like plastic bag drifting wind wanting start ever feel feel paper thin like house card one blow cavin ever feel already buried deep six foot scream one seems hear thing know still chance cause spark got ignite light let shine night like fourth july cause baby firework come show worth make awe awe awe shoot across sky baby firework come let color burst make awe awe awe gon leave awe awe awe might also like feel like waste space original replaced knew future hold hurricane come rainbow maybe reason door closed could open one lead perfect road like lightning bolt heart glow time know got ignite light let shine night like fourth july cause baby firework come show worth make awe awe awe shoot across sky baby firework come let color burst make awe awe awe gon leave awe awe awe boom boom boom even brighter moon moon moon always inside time let throu ough cause baby firework come show worth make awe awe awe shoot across sky baby firework come let color burst make awe awe awe gon leave awe awe awe boom boom boom even brighter moon moon moon boom boom boom even brighter moon moon moon 
"""E.T.""",tenho uma mente suja tenho jeito podre estou tentando banhar meu primata sua via ctea sou uma lenda sou irreverente serei reverendo estarei longe acima acima acima acima damos nima bem vindo zona perigo entre fantasia agora voc est convidado para outro lado sanidade eles chamam alien gena astronauta egoc ntrico talvez seja porque seu garoto yeezy arranja mulheres cil voc hipnotizante poderia ser diabo poderia ser anjo seu toque magnetizante parece que estou flutuando voc faz meu corpo irradiar eles dizem tenha medo voc como outros amante futurista dna diferente eles entendem voc outro mundo uma outra dimens voc abre meus olhos estou pronta para guia para luz might also like beije beije infecte com seu amor preencha com seu veneno leve leve quero ser sua tima pronta para abdu garoto voc alien gena seu toque outro mundo sobrenatural extraterrestre voc super nico quero sentir seus poderes atordoe com seus laser seu beijo smico cada movimento gico voc outro mundo uma dimens diferente voc abre meus olhos estou pronta para guie para luz beije beije infecte com seu amor preencha com seu veneno leve leve quero ser sua tima pronta para abdu garoto voc alien gena seu toque outro mundo sobrenatural extraterrestre conhe bar marte onde eles dirigem nave espaciais inv carros roube traje espacial prada sobre estrelas ficando estupidamente bado direto da jarras bolsos rasgados foguetes conv diga que vem seguir sexo alien gena vou despir voc depois vou penetrar veja abduzi ent digo que fazer digo que fazer que fazer que fazer beije beije infecte com seu amor preencha com seu veneno leve leve quero ser sua tima pronta para abdu garoto voc alien gena seu toque outro mundo sobrenatural extraterrestre extraterrestre extraterrestre garoto voc alien gena seu toque outro mundo sobrenatural extraterrestre 
"""Give Me Everything""",workin hard yeah right picture kodak better yet time square take picture kodak took life negative positive want know tonight let enjoy life pitbull nayer tell right tonight want tonight give everything tonight know might get tomorrow let tonight care say game play nothing enough til handle love let tonight want tonight want stay want tonight grab somebody sexy tell hey hey give everything tonight hey give everything tonight hey give everything tonight hey give everything tonight might also like take advantage tonight yeah cause tomorrow dubai perform princess tonight make queen make love endless yeah insane way name growin money keep flowin hustler move silence tiptoein keep flowin got locked like lindsay lohan woo put life baby make feel right baby promise tomorrow promise tonight dale excuse excuse might drink little tonight tonight might take home could tonight tonight baby make feel good tonight cause might get tomorrow tonight want tonight give everything tonight know might get tomorrow let tonight care say game play nothing enough til handle love let tonight want tonight want stay want tonight grab somebody sexy tell hey hey give everything tonight hey give everything tonight hey give everything tonight hey give everything tonight reach star grab least fall top world think cause slip gon fall top girl haha involved deeper mason baby baby secret granny cuba american idol gettin money like seacrest put life baby baby make feel right baby baby promise tomorrow promise tonight dale excuse excuse might drink little tonight tonight might take home could tonight tonight baby make feel good tonight cause might get tomorrow tonight want tonight give everything tonight know might get tomorrow let tonight care say game play nothing enough til handle love let tonight want tonight want stay want tonight grab somebody sexy tell hey hey give everything tonight hey give everything tonight hey give everything tonight hey give everything tonight excuse excuse might drink little tonight might take home could tonight baby make feel good tonight cause might get tomorrow get tomorrow get tomorrow get tomorrow get tomorrow get tomorrow get tomorrow 
"""Grenade""",easy come easy live take take take never give known trouble first kiss eye wide open open ooh ooh gave tossed trash ooh ooh tossed trash ooh ooh give love ever ask cause understand catch grenade yeah yeah yeah throw hand blade yeah yeah yeah jump front train yeah yeah yeah know anything yeah yeah yeah would pain take bullet straight brain yes would die baby might also like black black black blue beat til numb tell devil said hey get back mad woman bad woman yeah smile face rip brake car ooh ooh gave tossed trash ooh ooh tossed trash yes ooh ooh give love ever ask cause understand catch grenade yeah yeah yeah throw hand blade yeah yeah yeah jump front train yeah yeah yeah know anything yeah yeah yeah would pain take bullet straight brain yes would die baby body fire ooh watch burn flame said loved liar cause never ever ever baby darling still catch grenade yeah yeah yeah throw hand blade yeah yeah yeah jump front train yeah yeah yeah know anything yeah yeah yeah would pain take bullet straight brain yes would die baby ooh never 
"""F**K You (Forget You)""",restless ali gatie afterlife baby tate jersey bear tree cassiopeia bella dose ffil britt nicole weekend magic carter faith carolina burn celnolackin nolackin flow chase street sweeper swae lee danielle bradbery day davido sean paul ding dong unavailable sean paul ding dong remix musa key dee gatti either way denise van outen duncan james friend doja cat demon draft day luv drug eric bellinger find someone finesse tymes jail global dan hoodie allen jake mill outta reach jenny nuo accidental win jid lil yachty van gogh jid lil yachty half doin dope babytron kanii marry karen harding wrong place kat deluna hottie body kate stewart name mouth kkbutterfly obsessed boy lauren mayberry awake lil pump ring lil wayne kat food lola indigo dellafuente mala suerte lost frequency tom gregory dive neskin honey coming maria mena till water run clear mayer hawthorne time mika est vie mike die eazi advice nicki minaj last time saw odeal take otuka stuckk paris paloma good reason queen naija youngboy never broke fake love hab marnik vinai rock body marnik vinai remix inna sash real boston richey black truck rod wave come see safe rent free sam fischer afterglow sarah proctor jol know love surf itsoktocry kardashian teddy brennan savage peppermint teo glacier thuy close desire timbaland keep going nelly furtado justin timberlake tisakorean rando david guetta britney spear mind business david guetta remix wiz khalifa chevy wood oakland original yella beezy ynp maine aventador phidel outfool nenorama femdot missy elliott feyzal guarded jay critch homesick arianna reid soulmate chris patrick lock eli fross bonnie clyde glorilla gloss slimeroni wrong one aleza carbon tay keith kato snatch chain nasty benny butcher prosper peace rolling stone angry baby bug diseased clavish aitch tip toe elena rose linda natural leigh anne love ayra starr mac critter run scotty atl ceelo green camp major sof reyes hoy porto mal stunna girl mozzy wake dis shit alyx hardrock black truck schemin jim babyface ray money babii blueface tyga soak city mustard ohgeesy bluebucksclan abraham mateo sebasti yatra sigues pasando alex warren could baby jungle dissin chicago kid coco jones spend night blakeiana bing bong remix sexyy red bryson tiller like busta rhyme luxury life coi leray cardi bongo megan thee stallion chris stapleton think love dagny ray ban daniel allan bkaye kevin george ahead ela taubert era flo milli chocolate rain gang june crushed great good fine midnight rain iann dior even jamal blaq bonita tracey jon vinyl wasted joyner lucas seventeen katelyn tarver ignorance bliss kelly clarkson rose kenyon dixon vibe right tiffany gouch kian kova fotito killer mike maynard vignette jid jacquees kyle suddenly lil herbo type lil pump glow dark manu crook lately marshmello dove cameron boy mike smiley water mothica siren sophie power nle choppa college girl osamason trench peezy money man larry june fashion week perto jester plum blossom kiss quin nfn sauce walka bos blue realestk stranger rotimi bestie surface cloud stunna vega skilla baby made men tee grizzley idgaf chris brown mariah scientist thouxanbanfauni high roller trackdilla nrg roy wood ufo cobain unodavid night vedo split xanman bigg coke pill sauce walka young nudy peach eggplant remix latto sexyy red ysn fab love scar maeve voe last surprise soulja boy sold concert mile chancellor seater knight rider toby romeo declan donovan alive brezden brrr gucci mane dan garc tirando flow sesh john kobi lil nuu day got shot phidel never let olinaw ayra starr rhythm blue bazzi time daisy great rill rill dende xavier flower remix eli sostre broken majid jordan waiting naomi sharon midas jagaban louis vitty tayc sia gim love soulja boy brick doms til heart stop alessandra salina doms til heart stop color show alessandra salina becky querido abuelo balvin usher khaled dientes rhonza inclusive lil darius meant milck natasha bedingfield child child rod wave checkmate shindellas think tsha ellie goulding gregory porter somebody aandrq demur affiliated alex gaudino dopamine mazzz saturday ali gatie wandering eye time low fake hell avril lavigne amaal red light ambr stronger pride andy grammer pentatonix expensive bella poarch crush lauv beo lil kenny much gucci mane big boogie ovum wit caity baser disco shoe calvin harris sam smith desire hannah laing remix charlieonnafriday undefeated doja cat balut drake slime sza ekkstacy problem trippie redd guardin distant memory jacot need therapy alt demo judith hill runaway train kaash paige skitzo keke palmer asset keltro truly madly deeply caroline kole loek conor maynard mamma told loony good night maren morris get hell maren morris tree mar isabel drove crazy muni long made neoni pity party ellise nick lachey temporary kara dioguardi noah kahan lizzy mcalpine call mom noodah making money offset fan onerepublic counting star version picture leftover love pitbull freak freak nile rogers roxette listen heart alle farben remix sango masego masego interlude shenseea waistline cruel world soundraw doin fivio foreign sza snooze acoustic justin bieber tash tate mcrae greedy tomorrow together anitta back tyler cole wish would yungeen ace roadkill zara larsson david guetta love dizzee rascal sugar spice ill blu bic fizzle clarity doechii pacer poptropicaslutz true color bigwalkdog freestyle bleacher modern girl chris patrick slide emeli sand know jay fizzle dickie set jewel hand studio outtake troye sivan got started holly humberstone room jacob collier little blue brandi carlile kane brown feel mac critter spinnin til end nsg nella rose popcaan rite foot shake black dress lil harold gta aandrq qualm alex sampson til world get sick alok chainsmokers mae stephen jungle arian cruz flyin heart banx ranx party dance zach zoya belhassen kadim probl matique boywithuke migraine breez kennedy like byron messia mad dawgs carolesdaughter good bed calboy gang time skilla baby carvena sleep dheusta coming back cody johnson watching old flame cody johnson work boot daya downtown derivakat smile destiny rogers save love doe boy skilla baby smack finesse tymes warfare james blunt love ever needed prince turn jean dawson sza szns jesse boykins iii feeling jking dinah jane falling love joony need lady love back lil migo detox lola brooke bryson tiller lsr city gareth emery annabel like prayer luke grime burn maiya body united bop bop onerepublic assassin creed mishaal tamer mirage assassin creed mirage realestk better sarina damage scene queen pink push bra steve aoki danna paola paranoia taska black summer night emma loote tom odell black friday vinai alexandra stan believe wolftyla love bite yoza eventually sematary king graveyard live love lie bad bunny preview empress kiss rina sawayama soulja boy bbl soulja boy play chase atlantic mamacita iamjakehill sadboi sister wife erykah officer gls jay fizzle free str dropp monaleo cry birthday north ave jax jetsonmade die arm chilliman problem greedo raedio sexyy red panty tony right tyga lil wayne brand new windser daft punk within drumless edition kato talk marzz switching side dee gotti guidnce spicy plug stefflon run swae lee rolling stone lady gaga sweet sound heaven yailin ma viral ine ben feefafo lack mean abigail osborn case emergency let bird sing ali gatie stranger alle farben james carter vargen wan dance ally brooke gone bed aristoteles kenzo alvares telescope augustine woman brittney spencer bigger song calvin harris sam smith desire meduza remix campbell alcemist would bed caity baser catie turner empty clever stick side nle choppa dababy trickin dahi elmiene shame dallas smith crzy dallas smith fixer upper david guetta bebe rexha good blue ludmilla lit killah deepend andrew allen last call gon love enrique iglesias mar becerra asi vida europe hold head finesse tymes jail remix sett ytb fatt flyana bos big one griff vertigo alternative version hannah grae could iggy azalea ivorian doll money come remix big bos vette ivory scott queen naija mind jack kays feel like jade novah sign jake miller sunflower jax jones ina wroldsen forget jonah kagen pollution joy anonymous joy wrong jung kook jack harlow keke palmer serious kurtains reefer zootzie latto issa party babydrill lil nuu yop lil tony official canoozled lil uzi vert nfl lyrical lemonade lil durk kid cudi guitar room rain emote maxo kream whatchamacallit luh tyler mayer hawthorne without natalie jane die acoustic neiked hired ayra starr link nightshift empty house nsync justin timberlake better place peezy babytron psilocybin pinkpantheress mosquito pgs spence armani white buckle remix ramriddlz alexa rick ross meek mill shaq kobe ryan trey floor samara joy merry little christmas samaria wish hell skilla baby bae surf mesa run griff clawson thomas rhett morgan wallen mamaw house feat morgan wallen atomic city zacari reverse james 
"""Super Bass""",yeah yeah yeah hey one boy boomin system top cooler system come club blazin got stack deck like savin ill real might got deal pop bottle got right kind build cold dope might sell coke always air never fly coach mothafuckin trip trip sailor ship ship make drip drip kiss lip lip kinda dude lookin yes get slapped lookin said excuse hell guy mean like pelican fly mean shy loving tie like slicker guy thing eye yes yes somebody please tell nicki minaj mack dude back coupe chuck deuce might also like boy got heartbeat runnin away beatin like drum comin way hear boom badoom boom boom badoom boom bass got super bass boom badoom boom boom badoom boom bass yeah super bass boom boom boom badoom bass bass boom boom boom bass yeah boom boom boom badoom bass bass boom boom boom bass boom badoom boom boom badoom boom bass got super bass boom badoom boom boom badoom boom bass yeah super bass one boy polo entrepreneur nigga mogul could ball crew could solo think like better dolo think like better fitted cap even got try put mack got give look give look panty comin excuse hell guy know really got thing american guy mean sigh sickenin eye tell touch feminine side yes yes somebody please tell nicki minaj mack dude back coupe chuck deuce boy got heartbeat runnin away beatin like drum comin way hear boom badoom boom boom badoom boom bass got super bass boom badoom boom boom badoom boom bass yeah super bass boom boom boom badoom bass bass boom boom boom bass yeah boom boom boom badoom bass bass boom boom boom bass boom badoom boom boom badoom boom bass got super bass boom badoom boom boom badoom boom bass yeah super bass see need life stay know know know know know know stay away hey boy got heartbeat runnin away hear heartbeat comin way like boom badoom boom boom badoom boom bass hear boom badoom boom boom badoom boom bass boy got heartbeat runnin away beatin like drum comin way hear boom badoom boom boom badoom boom bass got super bass boom badoom boom boom badoom boom bass yeah super bass boom boom boom badoom bass bass boom boom boom bass yeah boom boom boom badoom bass bass boom boom boom bass boom badoom boom boom badoom boom bass got super bass boom badoom boom boom badoom boom bass yeah super bass 
"""Moves like Jagger""",shoot star feel right aim heart feel like take away make okay swear behave wanted control waited put show naked say kid ego big give shit go like take tongue know kiss til drunk show want move like jagger got move like jagger got move like jagger need try control look eye move like jagger got move like jagger got move like jagger might also like maybe hard feel like broken scarred nothing feel right make believe got key get car ride wherever want get inside wan steer shifting gear take yeah yeah go like take tongue know kiss til drunk show want move like jagger got move like jagger got move like jagger woo need try control yeah look eye move like jagger got move like jagger yeah yeah yeah got move like jagger wan know make smile take control night share secret gon keep nobody else see watch learn show twice head toe ooh baby rub right yeah share secret gon keep nobody else see hey hey hey yeah go like take tongue know take tongue kiss til drunk show yeah yeah want move like jagger got move like jagger got move like jagger yeah need try control ooh look eye ooh move like jagger got move like jagger got move like jagger 
"""Just Can't Get Enough""",let get hip hop shit started man grown without father road le travelled already chartered martin hold deep secret like garden black eyed pea gon get retarded rock hard foundation deliver lyric record feel friction wisdom delivered weight like six ton pick one cause mate easily rip somethin fan throw hand like evangelist lyrical hooligan rap word vandalist stand hope tall enough step ring lord calling bluff feel bass place hour mic demon facing power animos impromptu wan get track dough like self raising flour sick hip hop beat keep knocking soldier street foot keep walking street talking rhf venue sendin lot lyric give dam offend equipped road little bit bumpy given chance grab mic spit something man shit funky hip hop junky animos impromptu take try country might also like back black adder pack dagger rap shatter turn wack rapper ash matter got jack hammer flow make want mack every attractive close passionate bloke mistake weakness rep seven day kid weekend hardly ever sleep keep pant saggin back missed first bandwagon prompt aimed first target hit comin basket sickness bastard twisted get kid partially gifted rock non stop til speaker pop pregnant woman bump foetus bop respect cop step block reppin rock hand jock givin raw hip hop animos make weight measure mate say grace pray lord vacate place turned fake know even though change face make haste keep movin quick time rhyme language defined clear mind land mine watch step blow lyrical arsenal like gun buck touch rep heart stop sec start rendering cheque confess death stress le battle retaliation heart pacin game turn playstation mind patient born way like see chick want fornicate nothin say number one sit back relax rhf getting job done slay new jack wack rapper straight ivan milat killin backpacker street cat keep crowd movin like snake ladder hand head platter either walk bop stagger hoodied loose cannon ready rock fist locked enter dragon runnin block representin hip hop sippin flagon rip spot clique hot rock make chick flock lock stock two ball big animos shit hot rhf got bitch locked bunch rip offs piss 
"""On the Floor""",jlo sabes nada new generation worldwide party people yeah get floor dale get floor redone let introduce party people club loose loose everybody know get chain babe truth truth like inception play brain sleep snooze snooze play game get confused cause lose yeah pump back like tonka truck dale hard got get floor hey party freak step floor yeah animal tear floor break sweat floor yeah work floor stop keep moving put drink woo pick body drop floor hey let rhythm change world floor hahaha know running shit tonight floor brazil morocco london ibiza straight new york vega africa might also like dance night away live life stay young floor hahaha dance night away grab somebody drink little mismo gusta gusta gusta tonight gon floor woo tonight gon floor let rock know got clap hand floor hey keep rocking rock floor yeah criminal kill floor steal quick floor floor yeah stop keep moving put drink woo getting ill getting sick floor hey never quit never rest floor yeah wrong probably die floor brazil morocco london ibiza straight new york vega africa dale dance night away live life stay young floor dale gusta dance night away grab somebody drink little dale gusta gusta gusta tonight gon floor let rock tonight gon floor let rock tonight gon floor tonight gon floor woo badonkadonk like trunk full bass old school chevy seven trey donkey donk yeah need vodka chonky coke watch shit gon get donkey konged hahaha baby ready thing get heavy get floor act fool let dale believe bet hahaha name keith see sweat hahaha miami new york say get floor woo dance night away live life stay young floor dance night away grab somebody drink little let rock tonight gon floor let rock tonight gon floor woo tonight gon floor let rock tonight gon floor woo tonight gon floor tonight gon floor 
"""S&M""",come come come come come come come come come come come come feel good bad way turning back pain pleasure cause nothing could measure love great love fine box outta line affliction feeling leaf wanting cause may bad perfectly good sex air care love smell stick stone may break bone chain whip excite cause may bad perfectly good sex air care love smell stick stone may break bone chain whip excite might also like come come come like like come come come like like come come come like like come come come like like love great love fine box outta line affliction feeling leaf wanting cause may bad perfectly good sex air care love smell stick stone may break bone chain whip excite come come come like like come come come like like come come come like like come come come like like love feeling bring turn exactly yearning give strong meet boudoir make body say like like cause may bad perfectly good sex air care love smell stick stone may break bone chain whip excite cause may bad perfectly good sex air care love smell stick stone may break bone chain whip excite come come come like like come come come like like come come come like like come come come like like 
"""Pumped Up Kicks""",robert got quick hand look around room tell plan got rolled cigarette hanging mouth cowboy kid yeah found six shooter gun dad closet box fun thing even know coming yeah coming wait kid pumped kick better run better run outrun gun kid pumped kick better run better run faster bullet kid pumped kick better run better run outrun gun kid pumped kick better run better run faster bullet daddy work long day coming home late coming home late bringing surprise cause dinner kitchen packed ice waited long time yeah sleight hand quick pull trigger reason cigarette say hair fire must lost wit yeah might also like kid pumped kick better run better run outrun gun kid pumped kick better run better run faster bullet kid pumped kick better run better run outrun gun kid pumped kick better run better run faster bullet run run run run run run run run run run run run run run run run kid pumped kick better run better run outrun gun kid pumped kick better run better run faster bullet kid pumped kick better run better run outrun gun kid pumped kick better run better run faster bullet kid pumped kick better run better run outrun gun kid pumped kick better run better run faster bullet 
"""Last Friday Night (T.G.I.F.)""",stranger bed pounding head glitter room pink flamingo pool smell like minibar passed yard barbies barbecue hickey bruise picture last night ended online screwed well blacked blur pretty sure ruled damn last friday night yeah danced tabletop took many shot think kissed forgot last friday night yeah maxed credit card got kicked bar hit boulevard last friday night went streaking park skinny dipping dark nage trois last friday night yeah think broke law always say gon stop woah might also like friday night friday night trying connect dot know tell bos think city towed car chandelier floor ripped favorite party dress warrant arrest think need ginger ale epic fail picture last night ended online screwed well blacked blur pretty sure ruled damn last friday night yeah danced tabletop took many shot think kissed forgot last friday night yeah maxed credit card got kicked bar hit boulevard last friday night went streaking park skinny dipping dark nage trois last friday night yeah think broke law always say gon stop woah friday night friday night friday night last friday night yeah danced tabletop took many shot think kissed forgot last friday night yeah maxed credit card got kicked bar hit boulevard last friday night went streaking park skinny dipping dark nage trois last friday night yeah think broke law always say gon stop woah friday night 
"""Tonight (I'm Lovin' You)""",ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh know want made obvious want put let remove space rock body damn like way move give cause already know wan situation every nation nobody ever made feel way know motivation given reputation please excuse mean rude tonight lovin know tonight lovin know tonight lovin know tonight lovin know might also like damn pretty type baby would know ready never lied baby truth situation every nation nobody ever made feel way know motivation given reputation please excuse mean rude tonight lovin know tonight lovin know tonight lovin know tonight lovin know hah luda tonight gon everything want everything need everything want wan honey wan stunt window wall got give winter summertime get spring make fall got body make wan get floor see dance love way shake as turn around let see pant stuck stuck let find somethin please excuse mean rude tonight lovin know tonight lovin know tonight lovin know tonight lovin know tonight lovin ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh tonight lovin yeah ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh 
